# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
2014,  25.3642312053857,   0.0027751114683, -26.3663303163211,   0.0042048612038,   0.1875692232983,   0.0190913544527
2015,  17.4085447081401,   0.0007328720738, -14.7244269385180,   0.0009370249156,   1.7357413612128,   0.0352683960109
2016,  38.0013643883820,   0.0031475864750, -35.2766296171162,   0.0039582303267,   0.5290602908729,   0.0517259650187
2017,  31.2566800572785,   0.0037056752291, -34.1023083898462,   0.0062886753640,   0.2046056741711,   0.0265566952125
2018,  26.9861137737953,   0.0014387651577, -22.2176043986813,   0.0020687935534,   0.3907467211753,   0.0181393359999
2019,  27.2326054899457,   0.0025353884573, -16.6155973844155,   0.0034836241424,   0.3106567885325,   0.0216958905257
2020,  32.0547258820008,   0.0075834358479, -16.4791573249704,   0.0071908063221,   0.1858778463554,   0.0265113040889
2021,  20.2764041064324,   0.0016981134917, -31.3276161086260,   0.0027286075921,   0.3464851700165,   0.0230967880566
2022,  33.9466589936575,   0.0040014081029, -29.6752414947815,   0.0082938851948,   0.1703358894032,   0.0249835371882
2023,  35.3656665923217,   0.0089999329652, -20.4079385649069,   0.0138709288687,   0.1486162444125,   0.0242705833282
2024,  26.8439655775705,   0.0073856632340, -15.3726677120410,   0.0081102484745,   0.2220839258327,   0.0242775206556
2025,  27.1431345300834,   0.0014487102967, -25.8434998327854,   0.0019209425238,   0.3860421454048,   0.0175949781361
2026,  21.7673300486352,   0.0059070869760, -26.1301817411597,   0.0070494117745,   0.1916798756601,   0.0196915108790
2027,  17.1076116322860,   0.0000947200667, -16.0901289846856,   0.0001193857247,  14.2017326102315,   0.0343781711890
2028,  13.2237365866262,   0.0042305951644, -12.3050955876753,   0.0052595555975,   0.4276395111832,   0.0452063014731
2029,  18.4401216928866,   0.0022821718995, -21.4256940260421,   0.0033922920923,   0.3175146626419,   0.0238109696390
2030,  21.3997862125667,   0.0016362412537, -20.0857572663293,   0.0020545223754,   0.4851657049407,   0.0193435494506
2031,  37.7480446697513,   0.0062108615900, -13.6265001817291,   0.0067392241594,   0.2683111843018,   0.0467635974901
2032,   6.7823883323072,   0.0042687167594, -19.1715491246338,   0.0088154002274,   0.4822737300140,   0.0547700315593
2033,  23.8728496693067,   0.0010502086798, -33.1179268617808,   0.0017396445613,   0.7087248722170,   0.0231739833534
2034,  36.3297832376475,   0.0035026387251, -12.1305417580728,   0.0058911043672,   0.3698238979618,   0.0509319920092
2035,  14.1889274406428,   0.0043077030274, -25.7518544703813,   0.0104231805657,   0.1861300978301,   0.0228446033658
2036,  24.2649888102359,   0.0017893188985, -28.6910070083027,   0.0026552544766,   0.3164774209177,   0.0186217008609
2037,  37.2876180047208,   0.0024267999473, -28.0938157550553,   0.0026979022885,   0.3814885133878,   0.0277835946167
2038,  17.4403388520890,   0.0023717759303, -29.5417407480702,   0.0033120202187,   0.3134469479868,   0.0250984357780
2039,  28.5467963069044,   0.0026970118620, -31.3465705152227,   0.0046686832158,   0.2759097184149,   0.0220765179294
2040,   9.2660334463524,   0.0020318266982, -20.0770867454643,   0.0027201756871,   0.6899284195376,   0.0361120401395
2041,  10.9570276447743,   0.0006781300293, -16.0336169606818,   0.0008410876318,   2.3897832635971,   0.0418778023649
2042,  16.8862361928839,   0.0056892084004, -21.6929054127081,   0.0065655926709,   0.2005062207693,   0.0241143551398
2043,  23.9338979570819,   0.0018840894462, -23.0262110669578,   0.0025661321075,   0.2791379668934,   0.0171351418117
2044,  18.0604309958702,   0.0014772332422, -25.6972031410701,   0.0025168141412,   0.4044854674089,   0.0185632133979
2045,  30.9121513324283,   0.0013181790017, -24.5237637022145,   0.0019709558380,   0.3967749799420,   0.0191723592466
2046,  33.5539008995627,   0.0033192100419, -22.9682763359322,   0.0039453530996,   0.1887478866083,   0.0186533409658
