# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  31.1679880807473,   0.0008721064285, -29.8027077736097,   0.0013467276471,   0.7370124538523,   0.0245909624460
   1,  15.5362652758378,   0.0029971176929, -37.4004856641632,   0.0088521570334,   0.2619021676788,   0.0564747877173
   2,  18.1620597119202,   0.0056147982713, -25.5327565817332,   0.0083730335623,   0.1723110546583,   0.0206444369838
   3,  32.3890871234431,   0.0043119491028, -32.3605727371366,   0.0074409077712,   0.1641040075399,   0.0256119093420
   4,  19.0677209472441,   0.0044269480550, -30.4290578804177,   0.0054332122692,   0.2180153247669,   0.0253308503443
   5,  38.9773820066626,   0.0055085108877, -32.6366621562535,   0.0078244660948,   0.2674468798063,   0.0424963003429
   6,  37.9560291977196,   0.0053862199042, -15.7234002148431,   0.0058018416975,   0.3099711641842,   0.0372446171130
   7,  34.3974706127289,   0.0048975110406, -17.4328440522863,   0.0071583602780,   0.1971210363733,   0.0241101586652
   8,  41.0319911482384,   0.0050405759848, -32.2899522455619,   0.0088281423511,   0.3107280740981,   0.0508710647928
   9,  19.9684116780717,   0.0048360158122, -29.1913981533141,   0.0061104578756,   0.1562180535186,   0.0212708536091
  10,  21.6360751833052,   0.0065757403888, -13.6910407999709,   0.0063569992142,   0.2204619921073,   0.0300768976623
  11,  30.1297262453871,   0.0093458334151, -20.3236462648935,   0.0078956382480,   0.0924324397993,   0.0192079790556
  12,  20.5385996141931,   0.0069171427934, -27.5056117435090,   0.0095728864983,   0.1596997534022,   0.0177225017573
  13,  21.4345065000422,   0.0038015144836, -18.7428599904202,   0.0045454412408,   0.2148019544303,   0.0222816465976
  14,  16.8451491515612,   0.0052239703920,  -9.5767277019705,   0.0053741592348,   0.4467742459113,   0.0519456588976
  15,  12.5879347756119,   0.0038532655807, -20.5585649657350,   0.0041902211116,   0.3651951329234,   0.0316614229550
  16,  30.9650173504294,   0.0028724734628, -22.4772379823587,   0.0039389781002,   0.1675110180618,   0.0175524587378
  17,  34.6525095582343,   0.0074494292706, -22.8125983963467,   0.0115907136833,   0.1208558849930,   0.0211890954104
  18,  34.1169458103571,   0.0025924616330, -14.5563226218114,   0.0030798960037,   0.5361901491010,   0.0338805226769
  19,  34.7337136999982,   0.0012955679039, -35.5825169165988,   0.0019792832561,   0.8486095004203,   0.0422140284854
  20,  26.7937602513645,   0.0003782697400, -22.4786865341059,   0.0004928062314,   1.4548235373899,   0.0161338980020
  21,  27.4264326204073,   0.0050545086652, -11.3938208812130,   0.0054518456278,   0.3786699130955,   0.0366601784611
  22,  27.3955003968766,   0.0027518994687, -26.3713290233465,   0.0048119889462,   0.1812760927317,   0.0183716667299
  23,  23.4834367203830,   0.0070421440691, -36.9057550892898,   0.0084973599024,   0.2709717311094,   0.0401294114286
  24,  36.0861049561597,   0.0031898589585, -22.2098401855556,   0.0039960774105,   0.2575355338281,   0.0233506669929
  25,  17.8314120836058,   0.0057196838630, -13.9498416628571,   0.0074797243996,   0.2470484858364,   0.0333723315151
  26,  20.2009338349852,   0.0010652651866, -20.8231131082125,   0.0012631927809,   0.7135250436435,   0.0187310730261
  27,  22.6150065991822,   0.0050810612929, -12.0228443816568,   0.0071270639295,   0.2278360477660,   0.0300388408994
  28,  35.0933946655898,   0.0015989259246, -31.7166003254505,   0.0020832660079,   0.5511476802037,   0.0260834212108
  29,  33.3183643633245,   0.0033627814450, -20.4535129216941,   0.0057242814318,   0.2498555419992,   0.0266938405024
  30,  32.7387152273936,   0.0123982503280, -13.1475204562920,   0.0152696118227,   0.1929916063018,   0.0355098812935
  31,  14.1807464345107,   0.0009996304130, -27.8635989134765,   0.0015812291811,   0.7653924584927,   0.0230974330335
  32,  24.9599590312250,   0.0012342941516, -31.7529815068173,   0.0017204016726,   0.5850733494842,   0.0227510821287
  33,  33.1367701895713,   0.0013236191589, -27.6700916413349,   0.0016860103514,   0.5047976498430,   0.0214107035007
  34,  24.5614343453216,   0.0039920938162, -35.2950840365788,   0.0082075537088,   0.2435332676450,   0.0336865686994
  35,  31.3422548887013,   0.0026645300617, -35.6742084563422,   0.0045137525258,   0.3587831513601,   0.0349137872955
  36,  15.1509068316790,   0.0011021857531, -19.3032922848232,   0.0014372423081,   0.8814710938414,   0.0242413040113
  37,  32.2192952040598,   0.0044272103618, -15.1729176151169,   0.0053153230690,   0.1771917968019,   0.0319436643794
  38,  16.9249438367439,   0.0064761091141, -14.1429233916737,   0.0088265440861,   0.2266751191423,   0.0327983593226
  39,  11.7310852884386,   0.0015075634318, -22.7563548939514,   0.0018048432465,   0.7419606188991,   0.0290055961030
  40,  32.7241396080895,   0.0018152804027, -37.0520790210094,   0.0027542032358,   0.6968568563309,   0.0435971504950
  41,  36.5912659534286,   0.0009286343796, -18.9613417553580,   0.0011544197678,   0.9633196006177,   0.0270375474312
  42,  36.7750295012204,   0.0066291710781, -28.8661516453757,   0.0069693518406,   0.2218717349365,   0.0275775148765
  43,  30.6797962366636,   0.0003804763548, -26.3452232156317,   0.0005279118310,   1.4761082505630,   0.0166763615685
  44,  33.1552426873145,   0.0029985960242, -20.4389625719990,   0.0030910728729,   0.3287663267053,   0.0201526118632
  45,  31.2455261395276,   0.0015762628383, -33.7423742998413,   0.0026037111319,   0.5254965839190,   0.0265838564012
  46,  27.5079375910939,   0.0020989844102, -24.2923451083067,   0.0026081583979,   0.2480956819061,   0.0164626551250
  47,  20.4289929646659,   0.0027184921894, -21.2860794959277,   0.0047386846175,   0.2095602502948,   0.0201427408169
  48,   9.2431331471425,   0.0051250256209, -31.7049314066558,   0.0077118253319,   0.3486582665422,   0.0474985556003
  49,  26.0430025032723,   0.0007083843417, -34.1658891502858,   0.0012064765892,   1.0740498558347,   0.0255474170640
  50,  23.9136214413067,   0.0039310056829, -27.4400505639968,   0.0071502492023,   0.1767679689636,   0.0200393126249
  51,  43.3464772554313,   0.0015418117077, -17.5855604189098,   0.0021864325420,   1.5110867859871,   0.0643898558633
  52,  15.1013476103306,   0.0012819816955, -13.4792913456193,   0.0015318586927,   1.2029752277547,   0.0385105660825
  53,  40.1621398350882,   0.0043725458542, -26.8461906708689,   0.0057213407800,   0.1899668162923,   0.0320562688836
  54,  13.7125092873428,   0.0073860864090, -20.1703214381977,   0.0095772629166,   0.1915968888898,   0.0277778781441
  55,  32.9576461697287,   0.0027349420210, -19.1921202604422,   0.0032121123482,   0.2421326925437,   0.0216496869671
  56,  17.6299036456431,   0.0125390650490, -17.6246912998142,   0.0117207419983,   0.1251127153969,   0.0238031749007
  57,  35.3470077000890,   0.0032389983862, -36.0523938063240,   0.0041857330237,   0.4282595965918,   0.0447304292302
  58,  19.4203397182094,   0.0039482068984, -32.1154084960194,   0.0061728759198,   0.2183525567086,   0.0266184313543
  59,  38.9170941274352,   0.0044931507174, -12.7764705531936,   0.0050005950601,   0.4328267906860,   0.0608044067759
  60,  37.1128509642787,   0.0045370045369, -15.6515964307208,   0.0052680965300,   0.2937944806856,   0.0335689726118
  61,  31.3958402515981,   0.0033410680056, -22.5290410611451,   0.0056975564916,   0.1539168091458,   0.0194506069605
  62,  17.3348995416344,   0.0068947538632, -19.1289658590943,   0.0113786792809,   0.1738134856411,   0.0250894075822
  63,  40.0992051811979,   0.0038561688911, -22.4405707193839,   0.0033974227001,   0.4026994316986,   0.0309497433569
  64,  12.6211035944223,   0.0025051404060, -12.0097859741782,   0.0028542657032,   0.9794517686806,   0.0458864607732
  65,  40.1954143984651,   0.0036804834746, -12.9078160562743,   0.0038524335985,   0.6941746068118,   0.0613314265294
  66,  36.3516967355623,   0.0011604018264, -14.1383289032157,   0.0015515723805,   0.4886883146576,   0.0403044426403
