# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  27.7062944718506,   0.0043858873639,  -9.3743641055559,   0.0043733078914,   0.5289169236995,   0.0528922787111
   1,  25.1592811715025,   0.0003150393517, -17.5550888834650,   0.0004645439303,   2.1294078581892,   0.0200498001324
   2,  28.7778628061388,   0.0020153247410, -18.7932121431328,   0.0026738446440,   0.3208372373807,   0.0174659180462
   3,  31.7217507794882,   0.0034888637774, -37.2644003839858,   0.0092614181410,   0.3055982309193,   0.0424549105169
   4,  18.0276803899939,   0.0192860344964, -32.0991205198406,   0.0218158172764,   0.1636860801269,   0.0249079863555
   5,  18.7351190441444,   0.0012315676865, -22.6995519546962,   0.0015151540127,   0.6106967955316,   0.0205975279459
   6,  29.6335655999306,   0.0002356919630, -25.0090245649387,   0.0003014020091,   0.2390256161972,   0.0169716445439
   7,  29.4886094597363,   0.0025807605102, -21.6523593248603,   0.0030380678971,   0.2247241201580,   0.0195243206992
   8,  36.7538759338122,   0.0013967335045, -14.9697364158579,   0.0018064156859,   0.8778383367653,   0.0372883385965
   9,  16.3278061454108,   0.0032617213751, -23.8209394306952,   0.0056404467632,   0.2042010146923,   0.0214759388388
  10,  27.6900209293126,   0.0050000391692, -11.6789287390353,   0.0060630030633,   0.2213042151514,   0.0366125288146
  11,  28.8845670315692,   0.0041561107480, -29.7332373717142,   0.0066086457590,   0.1813407724989,   0.0189110894514
  12,  37.7246681537975,   0.0063858884955, -25.1209700686739,   0.0108694017932,   0.1435697998218,   0.0238111492837
  13,  29.9477543526717,   0.0048927551289, -34.7674814764869,   0.0062682580053,   0.1680900190123,   0.0300543453043
  14,  10.4218128782289,   0.0024548020355, -30.6110640802808,   0.0050180922201,   0.4079981309196,   0.0378837256559
  15,  18.8979437216645,   0.0005321202423, -31.7347217354207,   0.0007556556370,   1.5000470735212,   0.0253305399945
  16,  38.5343144129169,   0.0066888675334, -30.3086270673104,   0.0137423047790,   0.2041428722042,   0.0320030514803
  17,  31.7135301140966,   0.0065488803292, -22.8630869792362,   0.0090514713873,   0.1283043341652,   0.0185094595893
  18,  34.5218965266312,   0.0018246094411, -23.9091583187012,   0.0023894954565,   0.4008414363910,   0.0194593404414
  19,  35.1876237030249,   0.0038811751941, -10.5249484280964,   0.0051643702449,   0.6371141400869,   0.0542793376755
  20,  24.0786642758012,   0.0052014799481, -28.7418057815742,   0.0092429496972,   0.1391293027157,   0.0190266180956
  21,  31.1798361128029,   0.0041704176314, -23.2288824925300,   0.0043946960599,   0.1609880307718,   0.0197370612823
  22,  26.9805692531673,   0.0031735918858, -28.4649749260427,   0.0042713934608,   0.1719038682704,   0.0198168192044
  23,  43.7072487202097,   0.0049898380103, -23.4240933775702,   0.0052639085923,   0.6329808096778,   0.0653105816411
  24,  17.8199504839343,   0.0061104985039, -13.7548238218423,   0.0074536765498,   0.2211751875246,   0.0353718411575
  25,  18.6350121942217,   0.0039257108100, -29.7255822442191,   0.0075725005106,   0.1545851495573,   0.0227783194377
  26,  36.9863021735781,   0.0052306149628,  -9.1707755239026,   0.0058228454200,   0.7188775722888,   0.0816325799924
  27,  29.8513127020684,   0.0064010068927, -25.4224044378663,   0.0074999525538,   0.0881121377151,   0.0195885961052
  28,  42.7828471779169,   0.0079434846490, -21.6621154400053,   0.0117067265729,   0.2946201629085,   0.0497533165257
  29,  27.4838134513300,   0.0094533245158, -39.1092395597721,   0.0093719023773,   0.2628891351208,   0.0559992031789
  30,  37.7632741679745,   0.0021100360164, -18.6859609829384,   0.0031167679453,   0.2281694419887,   0.0318267622490
  31,  28.7020496364809,   0.0002871753779, -25.8864561957471,   0.0003898838669,   1.9106345989911,   0.0169772525356
  32,  17.0506523108686,   0.0014675665467, -17.5229223741597,   0.0018122902135,   0.7032173330073,   0.0290825088853
  33,  30.6477474787381,   0.0011141727918, -37.8563622473107,   0.0013821168176,   1.3355568427383,   0.0398389456241
  34,  27.0211171587609,   0.0024634031671, -20.6212022039458,   0.0039407830827,   0.2077032511721,   0.0183456911818
  35,  32.3106077208537,   0.0014558348525, -31.4881337035664,   0.0020847307391,   0.4316948702760,   0.0219105030428
  36,  12.6921454428885,   0.0009085212011, -12.1044802345009,   0.0011462493216,   2.1476407887734,   0.0543061256047
  37,  14.8067942027724,   0.0006728582218, -28.9880670135681,   0.0010959916612,   1.1398327969271,   0.0247221896988
  38,  28.1946511387371,   0.0010457793910, -29.7160190737346,   0.0016735873948,   0.6716437318230,   0.0226010748362
  39,  31.5307107126258,   0.0040650363031, -27.6178823897373,   0.0055948547760,   0.1868774353501,   0.0178143180126
  40,  17.8754749190199,   0.0012411138177, -23.8874108499196,   0.0019418293693,   0.5339280214557,   0.0206207716169
  41,  27.9425868619439,   0.0009186742459, -38.0437767094553,   0.0014935693014,   1.4300803206212,   0.0470132507028
  42,  32.7122079040402,   0.0067681732703, -29.4244143016041,   0.0096805689457,   0.1715580596696,   0.0238006918944
  43,  19.4786236010361,   0.0014222162067, -18.5337794299248,   0.0019058439997,   0.5172213686243,   0.0221403646684
  44,  21.8038737463506,   0.0061208761380, -17.3367586351307,   0.0093864787618,   0.1489283294967,   0.0221149701240
  45,  27.2376619877625,   0.0055874401646,  -8.2987352015885,   0.0089097608462,   0.4244580419943,   0.0586186094737
  46,  19.9796951001108,   0.0028165031352, -12.3929815602532,   0.0037364276861,   0.4077207017551,   0.0349727030949
  47,  15.0256885401719,   0.0018505295912, -31.8457599988981,   0.0027351518705,   0.5111684130022,   0.0296067396634
  48,  17.1619313801534,   0.0054545894766, -17.0158793384470,   0.0057499520054,   0.2115403306462,   0.0284569854563
