# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  12.1617252014337,   0.0076453736521, -11.0010005475423,   0.0092754951690,   0.3842388839086,   0.0599006737279
   1,  36.9795958234417,   0.0014448643067, -15.9633014412662,   0.0016504272917,   0.8561157941764,   0.0328954083021
   2,  36.6946533091742,   0.0057269357851, -11.0812734843585,   0.0079947725470,   0.3081607819609,   0.0551185431387
   3,  28.7342980242026,   0.0016522229078, -18.5825525598548,   0.0021839679171,   0.3761566515728,   0.0189709064209
   4,  16.7133080036687,   0.0030840437547, -33.8287213889833,   0.0070875212574,   0.3128622586731,   0.0376751710458
   5,  30.8709138910537,   0.0008040195529, -24.0821045158404,   0.0010440633687,   0.7777930807014,   0.0186526690639
   6,  30.7780117076147,   0.0010914255969, -31.2509552331045,   0.0015285418544,   0.6474654107960,   0.0216080721379
   7,  19.9965225065646,   0.0027727935366, -24.8823145939831,   0.0109969523415,   0.1171365041707,   0.0164718158830
   8,  21.2791604862902,   0.0147313044960,  -9.8104517146684,   0.0128865220735,   0.1750592735524,   0.0455885272741
   9,  26.1584871430304,   0.0033133973191, -21.7666488789969,   0.0048299900771,   0.2189940904475,   0.0189586622219
  10,  24.2824413007423,   0.0029326133078, -17.4570223524458,   0.0035821359071,   0.2942300520651,   0.0204895649473
  11,  31.1607645135334,   0.0013568768632, -14.5549061630836,   0.0017437410395,   0.6392028305265,   0.0258148044182
  12,  23.0817229433951,   0.0103735910028, -10.2489626634574,   0.0158238947722,   0.2770646287678,   0.0414360255660
  13,  35.9306643021317,   0.0030513195695, -30.3871585808171,   0.0032290265149,   0.3317701433806,   0.0271205433515
  14,  36.3552346622638,   0.0026211932904, -24.5251722521928,   0.0026761282895,   0.3169398486950,   0.0217879244732
  15,  29.5069645322208,   0.0071259926768, -23.7948991298814,   0.0047501423595,   0.1185927574680,   0.0161945718341
  16,  31.0596312567740,   0.0072838808825, -16.3869260076964,   0.0064863529834,   0.1552814184363,   0.0259678899169
  17,  13.8847513526061,   0.0047059708551, -19.4673455192107,   0.0062970055793,   0.2292614532652,   0.0292384799503
  18,  31.8472669651529,   0.0025137155178, -30.5171601315361,   0.0049570637116,   0.2580569330367,   0.0263967407661
  19,  38.0162411481652,   0.0008183841703, -23.8776596998937,   0.0009883971931,   1.0799756387069,   0.0242229947974
  20,  36.4574187920095,   0.0081043855474, -23.9388935208918,   0.0079181590904,   0.1556012492924,   0.0266308736343
  21,  28.1902986612742,   0.0091482522912,  -6.8514256445711,   0.0110546038933,   0.5708636005173,   0.0848795642618
  22,  25.1953569897356,   0.0007601456402, -22.1862925215790,   0.0010954496256,   0.7107501555373,   0.0168505173601
  23,  27.6755171485509,   0.0065652522545, -25.2276601696781,   0.0085352527334,   0.1006348943453,   0.0172031498715
  24,  13.7785565324091,   0.0029444694683, -17.7323184962694,   0.0030678105192,   0.5025021522715,   0.0289689573788
  25,  29.8926250836688,   0.0101530240391, -32.1776957823508,   0.0086557050760,   0.1318579369131,   0.0227086844830
  26,  34.6904801991893,   0.0050134045439, -21.1393954007175,   0.0066032923831,   0.1396468196801,   0.0205288214786
  27,  33.7464613295954,   0.0024743325392, -24.5939130967249,   0.0032194935287,   0.3034828427910,   0.0217503969485
  28,  40.5836303444028,   0.0008088815755, -27.9212149485843,   0.0010046025994,   1.5139612928577,   0.0356983500592
  29,  30.6176757698818,   0.0065495236413, -19.8313119882045,   0.0066967763149,   0.1359914256489,   0.0179084575002
  30,  27.1582827507519,   0.0056245273020, -11.0622912313303,   0.0065150080312,   0.2885358021986,   0.0373161666840
  31,  31.7565888734998,   0.0028448214355, -32.0711498358574,   0.0045841457228,   0.2311484015709,   0.0236692689080
  32,  28.6913446069763,   0.0050069837130, -19.0560387288204,   0.0082306329813,   0.1097673077776,   0.0201754384369
  33,  27.3924308837416,   0.0061635291853, -28.9122051875925,   0.0092298832111,   0.1227200097138,   0.0197969216571
  34,  32.7250659036067,   0.0020087265305, -21.4803562210010,   0.0023124206549,   0.1256737428218,   0.0198250026044
  35,  33.5824257711077,   0.0087208837470, -17.7271249367415,   0.0124879338793,   0.1075531797542,   0.0258106274870
  36,  15.2768381043077,   0.0044733538766, -20.3933013923947,   0.0095488632542,   0.2076332716052,   0.0230923189119
  37,  29.4717981261596,   0.0036321120740, -27.1925720297018,   0.0038764033511,   0.2012161320253,   0.0192965208909
  38,  30.0833819872817,   0.0010069312205, -25.2412853300714,   0.0012808993007,   0.5946250387213,   0.0195236814474
  39,  29.6256797824191,   0.0039031160391, -34.2885837375141,   0.0048584478134,   0.2885746296684,   0.0253473124925
  40,  34.4941882930623,   0.0022856733239, -13.9334493122178,   0.0032803840052,   0.4787726250856,   0.0354712334579
  41,  33.9981555089308,   0.0061343492902, -27.7746500825103,   0.0127076012731,   0.1416550329699,   0.0228713978933
  42,  43.6966645288361,   0.0022400594511, -23.1340189798331,   0.0028010987992,   0.9204787746609,   0.0647807941055
  43,  34.3712042879433,   0.0095875402379, -14.7854310531829,   0.0102428533582,   0.1443044607694,   0.0338731046033
  44,  14.1585292833448,   0.0116117726644, -22.7067873798274,   0.0199843626306,   0.1155520791598,   0.0222062353011
  45,  36.7985694643506,   0.0008000405870, -16.0600502786139,   0.0010464944350,   1.3703917158222,   0.0312820864719
  46,  12.7381307342559,   0.0025212429292, -26.4243117584346,   0.0036809507546,   0.3187072318200,   0.0276686381505
  47,  25.6080146091774,   0.0008710215638, -38.0515964382669,   0.0017059332420,   1.2102378618545,   0.0456678936831
  48,  16.7580092027010,   0.0040830244445, -18.0328553919669,   0.0054160520689,   0.1638390673323,   0.0248963722708
  49,  20.1777001946833,   0.0030862117043, -31.7672127033468,   0.0040771162481,   0.2412563374964,   0.0213044784015
  50,  22.5307999826461,   0.0026387010550, -15.3325741333778,   0.0042403059607,   0.3503865251803,   0.0233075529696
  51,  20.8655025144061,   0.0047317253736, -17.0860893118191,   0.0048550273944,   0.1803488253279,   0.0231143297173
  52,  18.7830070432530,   0.0040981043881, -36.1022111079303,   0.0058757172733,   0.3599664937425,   0.0384314330072
  53,  16.4739708733772,   0.0121361063119, -24.8366416509280,   0.0144336336450,   0.1421499895505,   0.0243132892376
