stage,time,percentage_solved
1,29.435683727264404,52.90157845868152
2,7.380421876907349,62.97585886722377
3,7.989457130432129,72.16805942432683
4,3.241185188293457,76.36954503249768
5,6.640379905700684,77.7623026926648
6,2.7081549167633057,79.15506035283194
