stage,time,percentage_solved
1,302.2902903556824,41.64345403899721
2,167.04855465888977,49.83751160631383
3,149.89357328414917,60.21355617455896
4,81.49166107177734,63.788300835654596
5,108.01517844200134,65.32033426183844
6,91.11421132087708,66.4577530176416
