stage,time,percentage_solved
1,141.41908860206604,45.357474466109565
2,46.924684047698975,54.7585886722377
3,42.164411783218384,65.64531104921078
4,21.65423846244812,69.15041782729806
5,36.52708911895752,70.54317548746518
6,20.872193813323975,71.65738161559888
