# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  38.2446799799098,   0.0043740555028, -26.9673508099403,   0.0059055241917,   0.1979017669493,   0.0288271064927
   1,  40.2675924055176,   0.0027241667692, -28.3042770382511,   0.0034524533482,   0.4787131935118,   0.0352495922832
   2,  39.7144666650778,   0.0020103791052, -27.5286443964357,   0.0023898833817,   0.5162493249363,   0.0317187285572
   3,  38.8501007848294,   0.0018958289380, -29.6365592276125,   0.0021166842865,   0.7197675339456,   0.0326937207186
   4,  40.5303225894113,   0.0027084082130, -27.3891711899332,   0.0049217150102,   0.3064267085036,   0.0364549591795
   5,  37.8902764943209,   0.0060562489318, -26.6706212668327,   0.0088062051341,   0.1400146509973,   0.0284112547668
   6,  41.3494996067053,   0.0033672890967, -26.9562810565413,   0.0052072457292,   0.3705316793577,   0.0370822002302
   7,  39.9367750218432,   0.0007790583094, -26.7315082914346,   0.0008780180367,   1.4645863664933,   0.0338119117518
   8,  41.7566447082322,   0.0073042598263, -29.2431770129662,   0.0074258576035,   0.2451864355589,   0.0445321582773
   9,  41.8501890371148,   0.0026549175582, -25.9804235919530,   0.0029629777194,   0.5600862506657,   0.0416692294888
  10,  41.7194809970874,   0.0057958385634, -27.7802847109198,   0.0092654917868,   0.3191340842351,   0.0438954715396
  11,  37.3304340145573,   0.0027711316313, -26.3256818051604,   0.0035502490632,   0.3128208735896,   0.0257869156079
  12,  39.1098102176100,   0.0038445352103, -27.1864346620084,   0.0054460843321,   0.2253014959140,   0.0296205802438
  13,  40.5336355996407,   0.0015539885644, -27.7444330172048,   0.0020700334463,   0.7794775484451,   0.0387949266180
  14,  41.3357338824154,   0.0047181595884, -26.2863036081332,   0.0056256297964,   0.2604862859456,   0.0341579330649
  15,  38.6298084665185,   0.0058660703961, -26.6059957388442,   0.0078584136739,   0.1903322236149,   0.0290213792713
  16,  37.6723308396582,   0.0039501643997, -27.6619192040499,   0.0048454641150,   0.2228857043108,   0.0267459090744
  17,  41.3546344053679,   0.0031544331719, -26.4634879917840,   0.0046005495075,   0.3385389998317,   0.0393156907993
  18,  40.1399686318902,   0.0032040226215, -26.2739102976454,   0.0038530327655,   0.2844592929600,   0.0340444919862
  19,  40.3472477803284,   0.0017875797591, -28.6968577306366,   0.0020848906412,   0.7247993928189,   0.0374553508761
  20,  37.7371821973875,   0.0057238095719, -26.9870355239597,   0.0074875803913,   0.1853291262806,   0.0278137991337
  21,  38.7786068820092,   0.0067515530852, -28.8123110893990,   0.0064887386495,   0.1807183180575,   0.0330003209587
  22,  37.1468553901642,   0.0043243253625, -28.5189139523497,   0.0053843466323,   0.2238130030312,   0.0304466637574
  23,  40.8271968890620,   0.0011762084910, -29.6398443512973,   0.0014366287243,   1.1029190249278,   0.0365859677254
  24,  37.1448393055321,   0.0018436186929, -29.7869035622835,   0.0022314115366,   0.4426493679408,   0.0275445919806
  25,  37.8532249535900,   0.0012598675649, -27.3736650254907,   0.0016593200614,   0.6736382070465,   0.0270769338472
  26,  37.7615186405290,   0.0021595178453, -28.7213553693339,   0.0025457372888,   0.4794368475946,   0.0305732567356
  27,  38.9866298776656,   0.0003193906534, -28.8511537660968,   0.0003964539652,   3.4505181927134,   0.0343157304894
  28,  40.4115909275542,   0.0017696985198, -28.6390723658148,   0.0021414425276,   0.5302423321905,   0.0359828217062
  29,  37.6931906574018,   0.0052305532063, -28.8847995237011,   0.0083581176327,   0.1685263084125,   0.0279907925429
  30,  40.4532003345964,   0.0023078506202, -26.3913716019152,   0.0043674570788,   0.4100846052395,   0.0356431637527
  31,  39.6328558473614,   0.0030965543512, -27.9610848455753,   0.0034619371869,   0.3457923668119,   0.0334716105556
  32,  38.6907912027487,   0.0079344469157, -27.0775623118683,   0.0066818077723,   0.1692667601766,   0.0280394370275
  33,  37.0296896157714,   0.0026447591083, -26.9366073565789,   0.0033842089151,   0.3401849369696,   0.0259092026950
  34,  38.9004891162394,   0.0020747827817, -27.6843795024000,   0.0023024462970,   0.5933779641048,   0.0278092251121
  35,  39.3564618608851,   0.0050526528169, -28.8187455270685,   0.0045371184455,   0.3533392760294,   0.0316014789873
  36,  41.9441756250278,   0.0012731991169, -26.1174365488567,   0.0013895373891,   1.1888848244995,   0.0419836124456
  37,  40.2976274842853,   0.0027876010430, -28.3964045361851,   0.0039154219945,   0.3869569500026,   0.0350610947853
  38,  40.1755820027496,   0.0042896623536, -26.8812465203323,   0.0056807150165,   0.2489228990114,   0.0325909101851
  39,  41.7402476040158,   0.0041232581536, -27.5111705420901,   0.0148755850890,   0.2254646452392,   0.0405597046171
  40,  41.9684487101077,   0.0007703225557, -29.5410087296931,   0.0008614406959,   2.2249259894766,   0.0437869337211
  41,  40.1614859115587,   0.0019273823680, -27.8137057997547,   0.0022327095511,   0.6261759908498,   0.0384199626414
  42,  37.0042786247155,   0.0004700958652, -29.0127225771837,   0.0006157912891,   1.8814479558856,   0.0294106536251
  43,  38.1342438917903,   0.0038814169912, -27.4115233051558,   0.0074521565302,   0.2466673698770,   0.0289499908285
  44,  40.4689069118983,   0.0014433201986, -28.2779085465564,   0.0015984892907,   0.8988512843563,   0.0398101596219
  45,  39.4046389160528,   0.0065156400050, -29.7737288322918,   0.0096027671778,   0.2481437227867,   0.0341028245827
  46,  39.2853821062414,   0.0010201859642, -28.6719847740590,   0.0015822054210,   0.9218311422076,   0.0313686357988
  47,  37.5891924576206,   0.0023968309015, -28.3221739875345,   0.0026062362615,   0.3724770471332,   0.0300319071905
