# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  38.5004110697605,   0.0006550119318, -29.6998520571665,   0.0008139466988,   1.5237934209365,   0.0263473775392
   1,  39.6892875619526,   0.0013847615909, -27.4908224725514,   0.0017503046252,   0.7232318031930,   0.0320547787426
   2,  37.7212929906352,   0.0059323485125, -27.0229344766169,   0.0079402379079,   0.1488398719170,   0.0248029482493
   3,  40.0111604932122,   0.0007852319173, -26.7197643233720,   0.0008806977385,   1.4880090241443,   0.0327246560288
   4,  41.2280790244212,   0.0047946598660, -26.2310905429895,   0.0055217337799,   0.2740920490088,   0.0348801269660
   5,  37.6658557396474,   0.0033504928671, -26.0599848584090,   0.0037303133679,   0.3135510880583,   0.0274131787464
   6,  41.2043740135196,   0.0029418441953, -28.6966630167506,   0.0041362832459,   0.4692464399641,   0.0424250581447
   7,  38.9054356187573,   0.0020157888197, -27.6484352336410,   0.0022180041135,   0.5153315963642,   0.0283506134432
   8,  41.7615469225212,   0.0042102131648, -27.5886595321959,   0.0149007539668,   0.3090337476804,   0.0407155028898
   9,  38.3474760031189,   0.0008103588189, -30.0482129059945,   0.0011714131506,   1.1732113196545,   0.0302704563572
  10,  38.8791383019342,   0.0018951378603, -29.5930626569124,   0.0019176802554,   0.6249533641638,   0.0311418345387
  11,  38.5172777647646,   0.0063607726285, -27.0963575277675,   0.0076907973842,   0.1734623906159,   0.0278588984927
  12,  36.9875212178404,   0.0056511696614, -29.2791826822884,   0.0076393909145,   0.2015716392537,   0.0271256094001
  13,  41.9945617985214,   0.0013049220995, -26.1270467384162,   0.0013590486366,   1.1177060058511,   0.0425710285085
  14,  40.1124153849708,   0.0044082720057, -26.9029008428161,   0.0057651932424,   0.2659296621145,   0.0331926428797
  15,  40.3925396804620,   0.0023544079476, -26.4057562474166,   0.0043384741024,   0.4138032146544,   0.0361833924093
  16,  41.6964033925884,   0.0076673739556, -29.3435352002097,   0.0077783031912,   0.2464688519681,   0.0452830380733
  17,  37.0525647757028,   0.0047131294792, -28.4476092511622,   0.0054036944043,   0.2289746063170,   0.0270321514276
  18,  40.5284253137749,   0.0008124226373, -27.8832524795078,   0.0009767687220,   1.5103674807759,   0.0368917671523
  19,  37.9164573400753,   0.0021369122777, -28.6518328311555,   0.0026329398056,   0.4286453717215,   0.0312124003435
  20,  37.7753786727339,   0.0008351218293, -26.7854942020662,   0.0010319902173,   1.0297501223797,   0.0285988712574
  21,  40.2239564800280,   0.0028484868827, -28.3062878076816,   0.0033765521581,   0.4734560812199,   0.0358971595177
  22,  39.6074692993578,   0.0029503789306, -27.8668999783860,   0.0034559136471,   0.4121374662710,   0.0317685116640
  23,  37.6997924943519,   0.0056810756957, -27.1009610866394,   0.0076337173008,   0.1547297500427,   0.0269093551519
  24,  37.7191729342823,   0.0051368429639, -28.8027613900961,   0.0081215793817,   0.2160878360348,   0.0292322589961
  25,  37.2114944913259,   0.0024346741708, -28.0671650329879,   0.0027061078609,   0.3526842143164,   0.0254787859059
  26,  41.3117314365605,   0.0036073401219, -26.8838561594383,   0.0051347968295,   0.3602643776333,   0.0381497483291
  27,  40.4310192946802,   0.0033769176725, -26.4754496353310,   0.0049994495025,   0.2745719337297,   0.0299637619308
  28,  37.7192344507989,   0.0041754211559, -27.6200626218047,   0.0047355078931,   0.2364418886430,   0.0272054855495
  29,  39.6886644162193,   0.0020033904477, -27.6013615075455,   0.0024469955876,   0.5777158417922,   0.0304793241974
  30,  39.3066748818481,   0.0010499797726, -28.6046492748839,   0.0015337904436,   1.0305349645670,   0.0295330944434
  31,  42.0146315452331,   0.0008008936479, -29.5368796645083,   0.0008276560500,   2.3321763971793,   0.0433032089561
  32,  38.3092759111750,   0.0032229066306, -26.1333519861413,   0.0036484541526,   0.3552402584553,   0.0265126924871
  33,  38.4623583098387,   0.0106623719876, -27.4233328773591,   0.0090482075596,   0.0885806834234,   0.0288386576642
  34,  40.4374496933146,   0.0033304395592, -29.2404335648746,   0.0038503531984,   0.4423119214961,   0.0342326893638
  35,  40.5984757184079,   0.0026320299492, -27.4667440928791,   0.0050196694210,   0.3415812161238,   0.0358704910380
  36,  37.1831561937451,   0.0024441564199, -29.7897933295468,   0.0029914821420,   0.4249523611666,   0.0288707662137
  37,  37.9307904299356,   0.0024061322272, -28.1816562264370,   0.0027638795562,   0.3807998103219,   0.0275414591723
  38,  40.5455145755287,   0.0015040403815, -27.8219110662933,   0.0021734040223,   0.6617672971787,   0.0376392245487
  39,  40.0058772547698,   0.0029704005814, -29.1822305085586,   0.0038664885443,   0.3939896942125,   0.0371305737628
  40,  37.1086152984716,   0.0019962300780, -26.5205313971633,   0.0022515875323,   0.4742413812006,   0.0228675119894
  41,  38.7160572550043,   0.0037932985255, -26.3134458188276,   0.0045374069461,   0.2893074256851,   0.0259037081698
  42,  37.1251944154487,   0.0004226580750, -28.1765773592237,   0.0006249322711,   2.0396769630706,   0.0268117313102
  43,  41.2923360031904,   0.0053056162236, -28.9786420784172,   0.0062276546207,   0.3666555462307,   0.0417122029943
  44,  39.0301031497759,   0.0003032878325, -28.8003005110503,   0.0003896424620,   3.4429626889903,   0.0326727417368
  45,  38.2869617753776,   0.0043953272890, -27.0090665495004,   0.0058621821513,   0.1410705493860,   0.0289900595514
  46,  38.6918379536249,   0.0058654529765, -26.4980582442540,   0.0079582298850,   0.2359980194028,   0.0279139885747
  47,  37.0355694923524,   0.0004687524240, -29.0210815895117,   0.0005939099219,   1.9411909740499,   0.0247496521299
  48,  38.6074706569305,   0.0074814018144, -27.0000191196520,   0.0066508771510,   0.1696836686169,   0.0278385688950
  49,  41.3614646732637,   0.0031166556333, -26.4028105681434,   0.0043749176410,   0.3349204035577,   0.0349194791445
  50,  37.6281141817261,   0.0025052495081, -28.3963373069230,   0.0026966378629,   0.3578167935527,   0.0291559575705
  51,  40.2837255849102,   0.0026794147511, -28.3972189920264,   0.0038905485074,   0.4376344586623,   0.0344972440143
  52,  39.1718102996575,   0.0038745890400, -27.1842696917736,   0.0056224188356,   0.2386277134874,   0.0284075252743
  53,  37.4364234477447,   0.0027243530090, -26.3575109577053,   0.0033912199796,   0.3549647297850,   0.0251148913939
  54,  40.5054111343934,   0.0018157121689, -28.6478625275003,   0.0021697656752,   0.4693543984024,   0.0368682460827
