# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  38.5184932854962,   0.0064799641905, -27.0273969612533,   0.0079992757225,   0.2399402575350,   0.0283652083190
   1,  37.1494962876742,   0.0017528680437, -29.7021916440157,   0.0022567904532,   0.4987201819319,   0.0271627297219
   2,  37.7273461763599,   0.0041741715665, -27.6667464633698,   0.0046045632669,   0.2347499945827,   0.0267660098114
   3,  40.9018035501830,   0.0031999237993, -26.1407321400086,   0.0044216400535,   0.3478947634444,   0.0370848399830
   4,  37.3217066479207,   0.0080938935277, -30.0233630732543,   0.0069824370269,   0.1605938892430,   0.0317926865819
   5,  39.9118224393704,   0.0007245219175, -26.7168310410370,   0.0008524054417,   1.4486620272863,   0.0361569345383
   6,  41.2531203660937,   0.0052731739434, -29.0382402266626,   0.0062831868984,   0.3564348544006,   0.0411487590919
   7,  37.8398294525732,   0.0012668010969, -27.3637272511135,   0.0016014646023,   0.6928661280753,   0.0283579991178
   8,  37.5278825525899,   0.0038752971648, -27.9243985709031,   0.0047121375849,   0.2698310664035,   0.0275581819430
   9,  39.2988362841682,   0.0050794860546, -28.8067931061076,   0.0043834578219,   0.2491589106950,   0.0330611257565
  10,  41.9695045689245,   0.0045139565867, -27.8725813175924,   0.0083475506675,   0.3505081542291,   0.0442540236563
  11,  37.7483075290309,   0.0034001759463, -29.0687852157777,   0.0038967849405,   0.2745667746050,   0.0285730982311
  12,  37.7181749649333,   0.0035489638359, -25.9339520302676,   0.0036628688188,   0.3463531934699,   0.0275134019724
  13,  40.3315986858056,   0.0027903612190, -28.2775679119792,   0.0031746830549,   0.4343828140279,   0.0362928643988
  14,  40.3314721973073,   0.0017745819305, -28.6852644161787,   0.0022212321283,   0.7142848287743,   0.0353570913464
  15,  41.3480065149459,   0.0031641141151, -29.6456666017782,   0.0033550571214,   0.5578067398790,   0.0427868730653
  16,  41.3355107527678,   0.0046916942851, -26.2921961094813,   0.0054162852171,   0.3531905323872,   0.0339785432411
  17,  41.2743748474030,   0.0032649031241, -26.3473486239896,   0.0043312334105,   0.3809309645559,   0.0363799275560
  18,  38.7223503557988,   0.0059233907015, -26.5877730466219,   0.0079405446141,   0.1987437369969,   0.0277055382956
  19,  39.3979336222704,   0.0066257602385, -29.8136003159233,   0.0095297432007,   0.2013202884337,   0.0363951460430
  20,  37.4043926246505,   0.0027557166329, -26.3619497072708,   0.0034706490865,   0.3494301310925,   0.0229869329656
  21,  37.6374369849076,   0.0057306595964, -27.0840572302034,   0.0080626341055,   0.1197355655087,   0.0260620538424
  22,  37.1128612493290,   0.0004162985110, -28.2124465851610,   0.0006165572228,   2.0029103521230,   0.0271892595087
  23,  41.0113589307061,   0.0121104134467, -28.6014190269993,   0.0125610792024,   0.1804868558896,   0.0419328054895
  24,  39.7090066777987,   0.0014394110557, -27.4011278867153,   0.0017974357581,   0.6763612441238,   0.0307791367710
  25,  41.8266645711216,   0.0055627136151, -27.8083124904605,   0.0095052505075,   0.3193544856220,   0.0406653333850
  26,  37.9675391517198,   0.0024646552767, -28.2672392928623,   0.0027980029289,   0.3727439674217,   0.0277067947573
  27,  41.5363542682215,   0.0034560246576, -29.2174627298993,   0.0039565550978,   0.3199677543414,   0.0466142384868
  28,  37.5903464955743,   0.0022129434499, -28.4150087287658,   0.0027765436383,   0.3554204057647,   0.0289248214471
  29,  40.4952640202753,   0.0008261013711, -27.9278850959463,   0.0010148215121,   1.4776806051771,   0.0380505449042
  30,  41.9683184990172,   0.0012173452147, -26.1364973312830,   0.0013478551580,   1.1718375353590,   0.0427276003147
  31,  41.9428611519177,   0.0026651546894, -25.9842922942874,   0.0028134314712,   0.5655801129334,   0.0408459354057
  32,  40.0378402421731,   0.0115258550805, -27.7440284549844,   0.0102146791587,   0.2182139879226,   0.0342020983168
  33,  38.2815035967198,   0.0042764886149, -26.9576865869945,   0.0060468585409,   0.2156800932422,   0.0294661651654
  34,  41.6567746945284,   0.0073907488004, -29.3115906107464,   0.0077268529483,   0.2490294073191,   0.0506778255667
  35,  40.1504417799873,   0.0030565572281, -26.3527093718405,   0.0036421445036,   0.3865254952514,   0.0324146785725
  36,  37.6491461658904,   0.0057110060461, -27.0554327218425,   0.0080451176154,   0.2001266447655,   0.0297138255655
  37,  38.5888685031339,   0.0103564017994, -27.4798677818752,   0.0091846965292,   0.1048277866894,   0.0283925975246
  38,  37.6160943514337,   0.0053562257763, -28.8780144347832,   0.0080716432357,   0.1288443267327,   0.0267278963965
  39,  38.6372037856718,   0.0074779334596, -26.9633166557294,   0.0065575036909,   0.1781411605267,   0.0287266080937
  40,  37.0690237870365,   0.0004631113960, -29.1266665342555,   0.0005910813248,   1.9382687609106,   0.0289488082881
  41,  38.6985672199644,   0.0039107932999, -26.3990027731887,   0.0044515101978,   0.3008995727082,   0.0282823375209
  42,  40.2627162671423,   0.0019265869638, -27.8109161244086,   0.0022414432090,   0.6296280723558,   0.0340446954091
  43,  37.1451844639962,   0.0019159525007, -26.5012166141396,   0.0023493882467,   0.4416999128280,   0.0261550965370
  44,  41.2064114083054,   0.0029761526506, -28.6793384814883,   0.0042267005848,   0.3439668235838,   0.0412185535405
  45,  40.7846228621142,   0.0019942113171, -27.4829300102485,   0.0020012237508,   0.7564404958530,   0.0353624780234
  46,  36.9846436425281,   0.0024677451074, -26.8917835742125,   0.0034544424443,   0.3133185342481,   0.0245065151169
  47,  39.1079667864171,   0.0033241287120, -29.9084855857216,   0.0044936581946,   0.3618954942629,   0.0337965046070
  48,  38.9817984401151,   0.0021300220848, -27.6821323839981,   0.0022493440906,   0.5486247384152,   0.0259016169284
  49,  42.2125542343712,   0.0059834648028, -26.3025039305981,   0.0101671742144,   0.2785653092531,   0.0481283660690
  50,  40.8787574088213,   0.0011530636036, -29.5076396827002,   0.0014239006107,   1.1227675477259,   0.0409182366054
  51,  37.7450635866365,   0.0008556483278, -26.8082392693375,   0.0010507533902,   1.1043840884317,   0.0269643347189
  52,  38.8282662603855,   0.0018455943046, -29.6200657766498,   0.0020017170987,   0.6603292040221,   0.0296375374084
  53,  38.5699255227628,   0.0018873698540, -28.6598870863577,   0.0024339574386,   0.5756845885331,   0.0290775121593
  54,  40.3921135848698,   0.0018859639569, -28.7322827210227,   0.0022063646336,   0.5478739992333,   0.0334113611864
  55,  40.4202175109009,   0.0032912748561, -29.1514893486335,   0.0040009029891,   0.3852088375355,   0.0335653965565
  56,  41.9765811005583,   0.0007771261358, -29.5518744951659,   0.0008435124932,   2.2881186375906,   0.0448655717628
  57,  37.9498578389585,   0.0060723588245, -26.6322543975467,   0.0088951195411,   0.1685856728813,   0.0267671214917
  58,  38.5297893607160,   0.0006798366359, -29.7207284023507,   0.0008193209607,   1.5321623128692,   0.0295389795666
  59,  41.6767776171478,   0.0061883201859, -29.3461189395742,   0.0081757101418,   0.2968284113128,   0.0419811484444
  60,  40.6106958308539,   0.0015374150233, -27.8573125223112,   0.0020844691322,   0.7542907233186,   0.0363205265598
  61,  37.6289099685645,   0.0036887726367, -29.5170778209150,   0.0053036864176,   0.1990691630426,   0.0265835504922
  62,  37.7902912672045,   0.0032004469202, -30.0089029997764,   0.0037888344390,   0.3065850951952,   0.0301559278444
  63,  41.7700815614922,   0.0042117926315, -27.5304824342209,   0.0146411895681,   0.2651991115025,   0.0412083099499
  64,  42.6669133582268,   0.0070897075993, -26.4478796531874,   0.0054472689543,   0.3054652428796,   0.0455639208611
  65,  40.5485048800375,   0.0018697909469, -28.5976143418080,   0.0020802145068,   0.4375333985847,   0.0358076586892
  66,  37.0320876606055,   0.0056192411627, -29.3344475305203,   0.0072103422626,   0.1216664343629,   0.0290179303511
  67,  40.4766078693707,   0.0014164355724, -28.2207778416446,   0.0016524357019,   0.9060308074857,   0.0364319103724
  68,  38.6153323814900,   0.0014390531242, -27.4431348722172,   0.0020821007977,   0.5890552812671,   0.0298027939644
  69,  41.8582132706643,   0.0032309474352, -27.3438452273600,   0.0047385530246,   0.3826696001029,   0.0422822682183
  70,  41.5180679676162,   0.0036254906637, -27.5807430886831,   0.0034713277675,   0.4556911177022,   0.0429668032329
  71,  39.1072654748534,   0.0039023853681, -27.2612334448438,   0.0054251170888,   0.1993973694512,   0.0277543977353
  72,  41.4471658467468,   0.0032295295026, -29.6696939234783,   0.0045633827030,   0.4237327927826,   0.0410359297969
  73,  38.2901896364065,   0.0032935273729, -26.1981614157170,   0.0033675521179,   0.3467991611062,   0.0280911340116
  74,  37.3106689212758,   0.0023320760265, -28.0588485138536,   0.0027588296741,   0.3969780097251,   0.0252463733614
  75,  42.0850800308726,   0.0026047507150, -29.5328583488048,   0.0035697507828,   0.4826054120708,   0.0474933115947
  76,  39.8292320002912,   0.0036132379312, -29.9892039227972,   0.0054983890823,   0.3437490690393,   0.0360296741749
  77,  41.1234964225723,   0.0039753436371, -27.2074353718623,   0.0074903558517,   0.3211251614133,   0.0405819283318
  78,  39.7307866117317,   0.0043040712699, -27.8742056247308,   0.0052998265801,   0.2934257800295,   0.0332063213283
  79,  38.1141308380487,   0.0042638856924, -27.3962766849075,   0.0077036521394,   0.1793929835352,   0.0289215558599
  80,  38.5933108710729,   0.0017679926132, -27.2656674963506,   0.0022238808969,   0.5084546226914,   0.0258618691300
  81,  40.5043156967002,   0.0023753373729, -26.4207521738446,   0.0045650400419,   0.3539653733008,   0.0315794753923
  82,  40.5873027845965,   0.0027124140710, -27.4135228775469,   0.0050713254553,   0.3723024205081,   0.0354311156322
  83,  37.8860300414686,   0.0021776685618, -28.6849693380532,   0.0026321185155,   0.4333112221706,   0.0301585328374
  84,  39.9588701212816,   0.0028093991957, -29.2313871012724,   0.0037319394218,   0.4101751427342,   0.0331490257560
  85,  40.4716134557070,   0.0032866939373, -26.5225183985508,   0.0052494016700,   0.3332069509283,   0.0371655577140
  86,  38.6604314270675,   0.0062201900694, -28.3267178480303,   0.0073740124821,   0.1478580613964,   0.0271079636554
  87,  39.0413276635873,   0.0003156774317, -28.8306075502945,   0.0003796138998,   3.4691330315146,   0.0343958042158
  88,  37.0832337098626,   0.0043120573748, -28.5005545314449,   0.0052625844982,   0.2685711877758,   0.0246885425810
  89,  38.7541483448666,   0.0064675195477, -28.8797534754625,   0.0064317202556,   0.2057247283348,   0.0335758631480
  90,  40.1773279328026,   0.0044761273845, -26.8643809303520,   0.0057228666905,   0.2527459314027,   0.0352348085990
  91,  39.7719930476800,   0.0020261844700, -27.5834897032042,   0.0023590008722,   0.5471605793256,   0.0307025782293
  92,  39.3107251357041,   0.0010409105154, -28.5529434449989,   0.0015104221512,   1.0263863926808,   0.0289904436128
