source,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,island
0,9.3215836799694,0.0034897906662,-27.1077948512706,0.0065141737767,0.2880941300663,0.0340835310849,0
1,42.6803275991258,0.0023829102221,-22.9857635195442,0.0029013286105,0.6941015914922,0.0463461515708,0
2,18.7901901396361,0.0030938124321,-30.1950124715443,0.006641888588,0.2191038084039,0.0218065656103,0
3,24.9428551996326,0.0018975677093,-20.6923871407783,0.0024106373404,0.3501693946395,0.0200452146901,0
4,40.5715571386054,0.003236557002,-33.228896566749,0.0082474862483,0.3419189060012,0.0536312097664,0
5,30.3819406621035,0.0026105462527,-17.8522215383935,0.003816955414,0.26223007054,0.0224834854124,0
6,32.2533292128732,0.0010133779431,-33.0708030674067,0.0013507178471,0.8339988615476,0.0286782312807,0
7,29.4749533047044,0.0062542527138,-9.7929572888381,0.0083238514514,0.27129822907,0.0450921173584,0
8,15.7282318404446,0.0001446145501,-21.8375297735545,0.000207210178,6.0633529688466,0.0235521470427,0
9,32.6686109684076,0.0011886729374,-34.435272902772,0.0018056978494,0.7519242859777,0.0342047608757,0
10,19.7837264948125,0.0036169765809,-14.6389696454799,0.0041601490401,0.4096782185549,0.0289649622927,0
11,31.3119929952304,0.0002179887078,-17.9983589709565,0.00024425318,3.8303121709827,0.020826743234,0
12,25.6439807797352,0.0044577424059,-11.1715414925171,0.005050448737,0.3468679822386,0.036252509477,0
13,25.4235272205808,0.0105433265478,-27.2123387606651,0.0128653236794,0.1288019509008,0.0188395683098,0
14,25.8147405606985,0.0037099219727,-26.9468002781352,0.0082133678796,0.1282980833185,0.019139416712,0
15,33.3442065927197,0.0035201927585,-20.371165684126,0.0055698154468,0.2415165661758,0.0244932189944,0
16,39.5387588928646,0.0036481671452,-14.9535602898516,0.0046810334318,0.5584841499239,0.0451043072863,0
17,13.2649702340711,0.004740891969,-21.5974846565113,0.0078083378294,0.1858903155767,0.0254848646031,0
18,37.0354039789013,0.0004917946102,-29.1187580919416,0.0005831514739,1.9548066075085,0.0263180794774,0
19,19.9254644130647,0.0037767961121,-18.5062453654121,0.0057723885994,0.1964531145169,0.0243624831548,0
20,18.8912230535066,0.0015069592058,-28.1310223965419,0.0028761504316,0.3246501580308,0.0201625525469,0
21,37.0523641139347,0.0024862309238,-24.5447950422465,0.002434593762,0.4195192345773,0.0237350440589,0
22,28.7882199885341,0.0020368276325,-18.7431123458809,0.0026247215563,0.3099334363651,0.0196727538215,0
23,25.6536308491478,0.0007803507607,-30.7131121339584,0.001112342253,0.8154538540215,0.0227961502831,0
24,43.6258418888736,0.0032678155999,-28.6265419601054,0.0042542180668,0.5772509181823,0.0612345479466,0
25,31.1180682909633,0.0013317905926,-34.979093852278,0.002253500526,0.61577859385,0.028704392301,0
26,40.519324570007,0.0008328625776,-27.8796165669202,0.0010184824109,1.526789431028,0.0370170952654,0
27,27.7172861504127,0.0034212856711,-27.7233287555285,0.003621867631,0.1957140819846,0.0157148657651,0
28,37.3247502673088,0.0073835810127,-14.0441433975997,0.0095297699421,0.2764728313422,0.0401605674564,0
29,33.1708547110084,0.0018623800433,-25.5980573292767,0.0028547411836,0.3197001876959,0.0209158260503,0
30,29.1088192568245,0.0010289861891,-25.682604023981,0.0014334556654,0.4255233696809,0.0173348811936,0
31,19.6202539331323,0.0074480315667,-26.282808392581,0.0091947248019,0.1277044738721,0.0198089501928,0
32,14.6002214222957,0.0104950634599,-17.108015830828,0.0108576925713,0.1940616269109,0.0370091813221,0
33,28.5652702565205,0.0071938902608,-28.7526064212642,0.0080592324217,0.1168134968161,0.0209301228181,0
34,32.4385698339317,0.0109953164188,-11.9207535896366,0.0102791586127,0.2317799679323,0.0459577046028,0
35,29.5428840871376,0.0014802860014,-26.6338963696285,0.0019542303979,0.3790163265554,0.0178072325852,0
36,23.7500144966365,0.0086387069,-16.2368672055929,0.0077615416725,0.1287383717222,0.0225467028396,0
37,25.0014893374035,0.0015550152981,-29.2908569298495,0.0025471494949,0.3207447200927,0.0158620459478,0
38,31.0670995711011,0.0054590575908,-9.8808460390378,0.0070311383697,0.3426549945854,0.0496595507357,0
39,21.6167819748406,0.0052613985092,-24.2217671067657,0.0084096813586,0.1633767478926,0.02037938665,0
40,33.586648380008,0.0088820748504,-17.7766443557664,0.0129076189979,0.1747764616868,0.0247506010697,0
41,40.2491353402608,0.0043898443597,-25.7924760347187,0.0072005988207,0.1926721266825,0.0359813457194,0
42,25.0865944050018,0.0053715889691,-36.0391578382442,0.006374800041,0.2704770971365,0.0322969917636,0
43,26.8921507754322,0.0042912042887,-29.153430226876,0.0055103031629,0.1579085690876,0.0184510895761,0
44,13.7211364847504,0.0018144654287,-25.1758056149856,0.0033105055943,0.3833231662439,0.0255187702435,0
45,36.9813169856219,0.0048653637332,-9.1631679251331,0.0058193395176,0.7392755547859,0.0901528046114,0
46,25.7883101515026,0.0038257011839,-17.101426070461,0.0052622286525,0.172870831615,0.0226171697821,0
